pt,title,lokasi,is_urgent,gaji,pendidikan,level,link,tipe_pekerjaan,description,post_date
"PT Indomobil Finance Indonesia","Field Collection Staff - Dumai","KOTA DUMAI",false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3"",""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394476,"Tidak Disebutkan","<ul><li>Pendidikan min. SMA/SMK/sederajat (D3/S1 diutamakan)
</li><li>Usia maks. 32 tahun
</li><li>Memiliki motor pribadi dan SIM C
</li><li>Pengalaman diutamakan minimal 1 Tahun
</li><li>Menyukai pekerjaan lapangan dan bersedia bekerja dengan target
</li><li>Memahami alur proses penagihan
</li><li><strong>Penempatan: Dumai (Riau)</strong></li></ul>",2024-03-27T07:06:44.781917Z
"PT Asia Garments Accesories","Staff Gudang (Area Pekalongan)",Pekalongan,false,LABEL_COMPETITIVE_SALARY,"[""SMA"",""Apa Saja""]","Pemula / Staf",https://karir.com//opportunities/1392802,"Tidak Disebutkan","<p>Kriteria:</p><p>1 Pria, usia 20-35 tahun&nbsp;</p><p>2 Fisik tubuh kuat dan sehat</p><p>3 Memiliki kemampuan operasional gudang yang bagus &amp; ketelitian yg tinggi dalam perhitungan barang</p><p>4 Bisa kerja sama tim &amp; berkomunikasi dengan bahasa yang baik (sopan dan ramah)</p><p>5 Terbiasa kerja fisik dan data serta memiliki kecerdasan emosi yang baik&nbsp;</p><p>6 Karakteristik lebih dominan aktif, detail dan teliti</p><p>7 Tidak mengidap penyakit yang menggangu kinerja kesehariannya</p><p>8 Domisili pekalongan sekitarnya</p><br><p>Benefit :&nbsp;</p><p>1 Gaji pokok</p><p>2 Uang makan&nbsp;</p><p>3 Insentif*</p><p>4 THR &amp; Cuti*&nbsp;</p><p>*Menyesuaikan masa tertentu &amp; kondisi aturan yang ditetapkan</p>",2024-03-26T01:42:27.421023Z
"PT Shelter Nusantara","STAFF R&D - BAKERY APPLICATION FATS & OILS",Surabaya,false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394438,"Tidak Disebutkan","- Pria / Wanita max 30 tahun<p>- Pendidikan minimal SMK(Tata Boga) atau SMA/Sederajat</p><p>- Memiliki pemahaman dasar dalam bidang bakery, pastry, &amp; yeast raised products</p><p>- Mampu mengoperasikan komputer (word &amp; excel)</p><p>- Jujur, bertanggung jawab, siap bekerja dalam tekanan</p><p>- Good attitude dan komunikatif</p><p>- Tidak memiliki alergi terhadap makanan</p><p>- Penempatan Gresik</p>",2024-03-25T02:47:08.148395Z
"PT MENSANA ANEKA SATWA","STAFF R&D",Bogor,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394450,"Tidak Disebutkan","<ul>
	<li>Pendidikan S1 Kimia Usia 25-30 Tahun</li>
	<li>Berpengalaman dibidangnya minimal 1 Tahun</li>
	<li>Mampu melakukan nekropsi dan diagnosa penyakit</li>
	<li>Memahami pembacaan dan analisa titer serologi&nbsp;</li>
	<li>Memiliki kemampuan &nbsp;berbahasa inggris aktif maupun pasif</li>
	<li>Mampu mengoperasikan komputer dan MS office</li>
	<li>Teliti , disiplin dan mampu bekerja sama dalam tim</li>
	<li>&nbsp;Bersedia Bekerja dibawah Tekanan</li>
</ul>
",2024-03-25T08:36:08.300518Z
"PT Indomobil Finance Indonesia","Field Collection Staff - Belilas","KABUPATEN INDRAGIRI HULU",false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3"",""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394435,"Tidak Disebutkan","<p><ul><li>Pendidikan min. SMA/SMK/sederajat (D3/S1 diutamakan)
</li><li>Usia maks. 32 tahun
</li><li>Memiliki motor pribadi dan SIM C
</li><li>Pengalaman diutamakan minimal 1 Tahun
</li><li>Menyukai pekerjaan lapangan dan bersedia bekerja dengan target
</li><li>Memahami alur proses penagihan</li><li>Penempatan: Belilas (Riau)</li></ul></p>",2024-03-25T02:14:30.622847Z
"PT Artha Demo Engineering Consultant","Staff Teknik Arsitek Landskap",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394428,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Pengalaman profesonal dibidangnya min 3 tahun (dalam 10 tahun terakhir) di konsultan perencanaan
</p><p>3. Pengetahuan tentang Arsitek Landskap tata ruang kota atau desain fisik
</p><p>4. AuotoCAD, Photoshop, Corell Draw, ETAB, SAP 2000, Lumion, Sketchup
</p><p>5. Desain gambar perencanaan
</p><p><br></p>",2024-03-23T04:55:33.50719Z
"PT Artha Demo Engineering Consultant","Staff Drafter CAD",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3"",""SMA""]","Staf Senior",https://karir.com//opportunities/1394419,"Tidak Disebutkan","<p>1. Pria/ Wanita
</p><p>2. Berpengalaman dibidangnya minimal 5 tahun (dalam 10 tahun terakhir) di Konsultan Perencanaan
</p><p>3. Menguasai AuotoCAD, Photoshop, Corell Draw, ETAB, SAP 2000, Lumion, Sketchup,
</p><p>4. Mengetahui jenis-jenis material bangunan
</p><p>5. Membuat Laporan perencanaan
</p><p>6. Membuat RAB
</p><p><br></p>",2024-03-23T04:32:38.347617Z
"PT Artha Demo Engineering Consultant","Staff Teknik Industri",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Staf Senior",https://karir.com//opportunities/1394416,"Tidak Disebutkan","<p>1. Dapat membuat skema Rantai Pasok dari Proses Industri
</p><p>2. Dapat meganalisis dan mengidentifikasi Proses Industrial
</p><p>3. Dapat melakukan pengolahan data
</p><p>4. Dapat membuat planning tamplate
</p><p><br></p>",2024-03-23T04:26:59.391746Z
"PT Artha Demo Engineering Consultant","Staff Teknik Penginderaan Jauh",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394424,"Tidak Disebutkan","<p>1. Pria/ Wanita
</p><p>2. Pengalaman profesional di Konsultan Perencanaan (Penginderaan Jauh)
</p><p>3. Menguasai software pengolahan data untuk pemetaan, diantaranya adalah Auto Cad, Arc View, dan GIS.
</p><p>4. Mempunyai kemampuan Digitasi Peta dan Kebencanaan
</p><p>5. Mampu bekerjasama dalam tim
</p><p>6. Jujur, pekerja keras, aktif, inovatif, teliti dan berdedikasi tinggi
</p><p><br></p>",2024-03-23T04:43:26.6811Z
"PT Artha Demo Engineering Consultant","Staff Hukum",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394415,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Pengalaman dibidangnya min 3 tahun (dalam 10 tahun terakhir) di konsultan perencanaan
</p><p>3. Siap bekerja lembur
</p><p>4. Bersedia bekerja dalam team dan bekerja dibawah tekanan
</p><p><br></p>",2024-03-23T04:25:15.347468Z
"PT Daya Medika Pratama","Sistem keuangan & akuntansi / ERP Implementation Staff / Consultant",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3""]","Pemula / Staf",https://karir.com//opportunities/1393123,"Tidak Disebutkan","<p>Bachelor's degree in computer science, information technology, or similar preferred.
</p><p>Specialization in business administration or a related field will be advantageous.
</p><p>ERP certification, such as SAP ERP Business Process Integration or Oracle’s SaaS ERP.
</p><p>A minimum of 2 years' experience as an ERP consultant in a similar industry.
</p><p>Extensive knowledge of business processes, ERP development tools, and coding languages.
</p><p>Exceptional interpersonal, collaboration, and communication skills.
</p><p>Superb problem-solving and analytical abilities.
</p><p>Excellent time management and organizational skills.</p>",2024-03-23T06:50:26.993664Z
"PT Artha Demo Engineering Consultant","Staff Teknik Sipil (Gedung, Jalan dan Jembatan)",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394422,"Tidak Disebutkan","<p>1. Pria/ Wanita
</p><p>2. Berpengalaman dibidangnya minimal 5 tahun di Konsultan Perencanaan
</p><p>3. Menguasai AuotoCAD, Photoshop, Corell Draw, ETAB, SAP 2000, Lumion, Sketchup,
</p><p>4. Mengetahui jenis-jenis material bangunan
</p><p>5. Membuat Laporan perencanaan
</p><p>6. Membuat RAB
</p><p><br></p>",2024-03-23T04:37:57.876457Z
"PT Artha Demo Engineering Consultant","Staff Teknik Lingkungan",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394423,"Tidak Disebutkan","<p>1. Pria/Wanita
</p><p>2. Pengalaman profesional 3 tahun (dalam kurun waktu 10 tahun terakhir) di Konsultan Perencanaan 
</p><p>3. Bersedia bekerja dibawah tekanan
</p><p>4. Memahami KLHS dan memiliki sertifikat KLHS (bagi yang memiliki)
</p><p>5. Memahami pengelolaan lingkungan
</p><p><br></p>",2024-03-23T04:41:12.140343Z
"PT Artha Demo Engineering Consultant","Staff Teknik Arsitek",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394427,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Berpengalaman dibidangnya min 3 tahun (dalam kurun waktu 10 tahun terakhir) di konsultan perencanaan
</p><p>3. Menguasai program autocad, 3D, Lumion, sketchup, dll
</p><p>4. Bersedia bekerja dibawah tekanan
</p><p>5. Bersedia lembur
</p><p>6. Bisa Membuat RAB
</p><p>7. Bisa Menghitung Estimasi Budget
</p><p>8. Maguasai gambar desain perencanaan
</p><p><br></p>",2024-03-23T04:52:26.664391Z
"PT Artha Demo Engineering Consultant","Staff Teknik Geodesi/ Geologi",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394425,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Pengalaman profesional dibidangnya 3 tahun (dalam kurun waktu 10 tahun terakhir) di Konsultan Perencanaan
</p><p>3. Menguasai software pengolahan data untuk pemetaan, diantaranya adalah Digitasi Peta, Auto Cad, Arc View, dan GIS.
</p><p>4. Mempunyai kemampuan Digitasi Peta dan Kebencanaan
</p><p>5. Mampu bekerjasama dalam tim
</p><p>6. Jujur, pekerja keras, aktif, inovatif, teliti dan berdedikasi tinggi
</p><p><br></p>",2024-03-23T04:47:09.370938Z
"PT Artha Demo Engineering Consultant","Staff Ekonomi",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Staf Senior",https://karir.com//opportunities/1394414,"Tidak Disebutkan","<p>1. Pria / Wanita	
</p><p>2. Pengalaman dibidangnya min 3 tahun (dalam 10 tahun terakhir) di konsultan perencanaan
</p><p>3. Siap bekerja lembur
</p><p>4. Bersedia bekerja dalam team dan bekerja dibawah tekanan
</p><p><br></p>",2024-03-23T04:22:59.320669Z
"PT Artha Demo Engineering Consultant","Staff Teknik Kelautan",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394417,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Siap bekerja lembur
</p><p>3. Siap bekerja dibawah tekanan
</p><p>4. Pengetahuan ilmu kelautan
</p><p>5.Pengetahuan teknik kelautan DLKR DAN DLKp
</p><p>6. Kemampuan melakukan analisis
</p><p>7. Kemampuan mengumpulkan data
</p><p><br></p>",2024-03-23T04:28:59.849328Z
"PT Artha Demo Engineering Consultant","Staff Ilmu Sosial dan Politik",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Staf Senior",https://karir.com//opportunities/1394421,"Tidak Disebutkan","<p>1. Pria atau Wanita
</p><p>2. Pengalaman di Konsultan Perencanaan
</p><p>3. Siap bekerja dengan team
</p><p>4. Siap bekerja dibawah tekanan
</p><p>5. Siap survey dilokasi pekerjaan
</p><p>6. Siap Lembur
</p><p>7. Membuat laporan dan analisis survey
</p><p><br></p>",2024-03-23T04:35:57.325347Z
"PT Artha Demo Engineering Consultant","Staff Teknik Desain Komunikasi Visual (DKV) ",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Staf Senior",https://karir.com//opportunities/1394429,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Pengalaman profesional dibidangnya min 3 tahun (dalam kurun waktu 10 tahun terakir) di konsultan perencanaan
</p><p>3. Pengetahuan tentang Merancang Wabsite dan IT
</p><p>4. gagasan baru dan berfikir paradigmatis dan sistematis dalam proses perancangan karya Desain Komunikasi Visual serta mampu merencanakan program dan strategi komunikasi visual melalui berbagai media komunikasi visual secara kreatif dan profesional.
</p><p>5. AuotoCAD, Photoshop, Corell Draw, Lumion, Sketchup
</p><p><br></p>",2024-03-23T04:59:28.470298Z
"PT Artha Demo Engineering Consultant","Staff Teknik Informatika",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Staf Senior",https://karir.com//opportunities/1394418,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Memahami Teknik Informatika (IT) Jaringan dan Komputer
</p><p>3. Bersedia bekerja dibawah tekanan
</p><p><br></p>",2024-03-23T04:30:34.180174Z
"PT Artha Demo Engineering Consultant","Staff Teknik Perencanaan Wilayah dan Kota",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394430,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Pengalaman profesional dibidangnya min 3 tahun (dalam kurun waktu 10 tahun) di konsultan perencanaan
</p><p>3. Pengetahuan tentang tata ruang kota atau desain fisik
</p><p>4. Menguasai ArGIS dan perpetaan
</p><p><br></p>",2024-03-23T05:02:04.312978Z
"PT Artha Demo Engineering Consultant","Staff Administrasi Tender Konsultan Perencanaan",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""D3"",""SMA""]","Staf Senior",https://karir.com//opportunities/1394426,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Berpengalamana profesional administrasi tender proyek
</p><p>3. Memahami LPSE Tender
</p><p>4. Berpengalaman membuat PQ, Uploud Dokumen Penawaran, Membuat CV dan Refferensi, Membuat invoice
</p><p><br></p>",2024-03-23T04:50:08.517909Z
"PT Artha Demo Engineering Consultant","Staff Interior Design",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Staf Senior",https://karir.com//opportunities/1394420,"Tidak Disebutkan","<p>1. Pria/ Wanita
</p><p>2. Siap bekerja lembur
</p><p>3. Siap bekerja dibawah tekanan
</p><p>4. Berpengalaman di bidang interior gedung
</p><p><br></p>",2024-03-23T04:34:20.789179Z
"PT Artha Demo Engineering Consultant","Staff Teknik Pertanian",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Staf Senior",https://karir.com//opportunities/1394413,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Pengalaman dibidangnya min 3 tahun (dalam 10 tahun terakhir) di konsultan perencanaan
</p><p>3. Mampu membaca situasi
</p><p>4. Siap bekerja lembur
</p><p>5. Bersedia bekerja dalam team dan bekerja dibawah tekanan
</p><p><br></p>",2024-03-23T04:15:43.184539Z
"PT Bromindo Mekar Mitra","Staff Procurement Impor",Semarang,false,LABEL_COMPETITIVE_SALARY,"[""D3""]","Pemula / Staf",https://karir.com//opportunities/1394394,"Tidak Disebutkan","<p>Di posisi Staff Procurement Impor PT. Bromindo Mekar Mitra, diharapkan untuk memiliki kualifikasi dan pengalaman sebagai berikut:<br></p><p><ol><li>Usia maksimal 30 tahun, pengalaman (minimal) 2 tahun dibidang terkait (Import)</li><li>Latar belakang pendidikan (minimal) Diploma III<br></li><li>Mampu berbahasa Inggris baik lisan maupun tulisan<br></li><li>Memahami dasa-dasar proses Import<br></li><li>Memahami Faktur Pajak Import<br></li><li>Mampu berkoordinasi dengan baik (internal maupun eksternal)<br></li><li>Mampu mengoperasikan Ms. Office dan aplikasi projrct management berbasis online<br></li><li>Penempatan Kota Semarang<br></li></ol></p>",2024-03-22T02:59:22.209578Z
"PT Imecon Teknindo","Business Development Staff - Samarinda",Samarinda,false,LABEL_COMPETITIVE_SALARY,"[""D3""]","Pemula / Staf",https://karir.com//opportunities/1394403,"Tidak Disebutkan","<p></p><ol><li>Pendidikan Min D3 semua Jurusan Pengalaman
</li><li>Pengalaman Min 3 tahun di bidang Asuransi Umum
</li><li>Mampu mengoperasikan MS Office dan PDF
</li><li>Memiliki kemampuan komunikasi yang baik yang lancar dalam berbahasa Indonesia dan Inggris
</li><li>Memiliki keterampilan interpersonal yang baik, beroritentasi pada pelanggan, inisiatif yang tinggi, problem-solving, berintegritas, bertanggungjawab, dan cepat beradaptasi
</li><li>Penempatan area Jl. Jenderal Ahmad Yani, SAMARINDA</li></ol><p></p>",2024-03-22T07:05:52.409252Z
"PT QST Agung Jaya","Tax & Accounting Manager and Staff",Cikarang,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394319,"Tidak Disebutkan","<p></p><ul><li>Dapat bekerja individual dan team</li><li>Memiliki 5-10 tahun pengalaman dalam bidang tax &amp; accounting (posisi 1)</li><li>Memiliki 3 tahun pengalaman dalam bidang tax &amp; accounting field (posisi 2)&nbsp;</li><li>Memiliki pengetahuan dalam mengoperasikan System Application &amp; Product (SAP) lebih diutamakan</li><li>Detailed Oriented, cepat beradaptasi and cekatan</li><li>Penempatan : Tigaraksa dan Lippo Karawaci</li></ul><p></p>",2024-03-21T07:56:00Z
"PT Centrepark Citra Corpora","STAFF INFRASTRUKTUR","Jakarta Pusat",false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3""]","Pemula / Staf",https://karir.com//opportunities/1386501,"Tidak Disebutkan","<p>1. Menguasai teknik listrik dasar
</p>
<p>2. Menguasai sistem informatika &amp; jaringan
</p><p>3. Menguasai microsoft office</p><p>4.S1 Teknik Elektro arus kuat / Teknik Mesin / Teknik Lingkungan
</p><p>5.Pengalaman kerja minimal 2 tahun&nbsp;</p><p>6.Bisa menggunakan software Autocad, Microsoft office</p>
",2024-03-21T02:22:24.552792Z
"PT Owens Sarana Asia Pasifik","Staff Admin ",Surabaya,false,LABEL_COMPETITIVE_SALARY,"[""S3"",""S1"",""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394345,"Tidak Disebutkan","<p><ul><li>Mampu berkomunikasi dengan baik</li><li>Teliti</li><li>Jujur</li><li>Disiplin</li><li>Cermat dan tenang</li><li>Dapat bekerjasama dengan tim</li><li>Mampu bekerja dibawah tekanan</li><li>Berdomisili di Surabaya</li></ul></p><br>",2024-03-21T01:52:19.790449Z
"PT Artha Demo Engineering Consultant","Staff Ekonomi Pembangunan",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394384,"Tidak Disebutkan","<ul><li>Pria atau Wanita</li><li>Lulusan S1 / S2 Ekonomi Pembangunan</li><li>Pengalaman Minimal 3 Tahun&nbsp;</li><li>Berpengalaman Mengerjakan Pra FS dan FS</li></ul>",2024-03-21T06:59:38.62478Z
"PT Isargas","Accounting Staff","Jakarta Selatan",false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394351,"Tidak Disebutkan","s1 and 2 year experience<br>",2024-03-20T06:07:39.166769Z
"PT Graha Esa","Accounting & Tax Staff","Jakarta Utara",false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394320,"Tidak Disebutkan","<p>•	Min 1-3 years experience in Finance, Accounting &amp; Tax, Fresh Graduate are welcome to apply.
</p><p>•	S1 / D3 Degree of Finance, Accounting &amp; Tax (Preferable S1) 
</p><p>•	Have high motivation and honest
</p><p>•	Have a good analytical ability and problems solving
</p><p>•	Result and detail oriented
</p><p>•	Full time position available
</p><p>•	Willing to be placed in Jakarta Utara
</p><p><br></p>",2024-03-19T06:19:51.813454Z
"PT Hokinda Citralestari","Staff HRD",Medan,true,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1388393,"Tidak Disebutkan","<p><ul><li>S1 Semua Jurusan, diutamakan jurusan Management / Psikologi</li><li>Pengalaman kerja menjadi nilai plus</li></ul></p><p><strong>&nbsp;Benefit:
</strong></p><p><ul><li>Tunjangan Makan &amp; Transport
</li><li>BPJS
</li><li>Bonus Performance
</li><li>Training
</li><li>Jenjang Karir</li></ul></p>
",2024-03-18T03:59:04.976328Z
"PT Hokinda Citralestari","Staff Research & Development",Medan,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1357312,"Tidak Disebutkan","<ul><li>S1 Teknik Elektronika/ Teknik mesin/ Teknik Industri</li><li>Kreatif dan menyukai inovasi</li><li>Menguasai Autocad</li><li>Tidak buta warna</li></ul><p><strong>Benefit:</strong></p><ul><li>Tunjangan Makan &amp; Transport</li><li>BPJS</li><li>Bonus Performance</li><li>Training</li><li>Jenjang Karir</li></ul>",2024-03-18T01:46:06.254599Z
"PT Hokinda Citralestari","Staff Admin",Medan,false,LABEL_COMPETITIVE_SALARY,"[""D3""]","Pemula / Staf",https://karir.com//opportunities/1357306,"Tidak Disebutkan","<ul><li>Min. SMA / D3 / S1 Semua Jurusan</li><li>Menyukai pekerjaan administrasi</li></ul><p><strong>&nbsp;Benefit:</strong></p><ul><li>Tunjangan Makan &amp; Transport</li><li>BPJS</li><li>Bonus Performance</li><li>Training</li><li>Jenjang Karir</li></ul>",2024-03-18T03:37:48.690108Z
"PT Hokinda Citralestari","Staff Budget & Cost Control",Medan,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1357313,"Tidak Disebutkan","<ul><li>S1 Akuntansi/Finance</li><li>Menyukai bidang analisa biaya</li><li>Menyukai hal yang membutuhkan ketelitian</li></ul><p><strong>&nbsp;Benefit:</strong></p><ul><li>Tunjangan Makan &amp; Transport</li><li>BPJS</li><li>Bonus Performance</li><li>Training</li><li>Jenjang Karir</li></ul>",2024-03-18T03:58:29.900231Z
"PT Tata Karya Gemilang","Staff Payroll",Yogyakarta,false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3""]","Pemula / Staf",https://karir.com//opportunities/1394306,"Tidak Disebutkan","<p><ul><li>Pria / Wanita</li><li>Pendidikan minimal S1 Akuntansi</li><li>Umur maksimal 35 tahun</li><li>Mempunyai kemampuan analisa yang baik</li><li>Mampu mengerjakan pekerjaan yang bersifat administratif secara teliti</li><li>Memahami tentang proses payroll/penggajian
</li><li>Mengetahui cara perhitungan upah lembur</li><li>Mampu bekerja dengan tenggat waktu</li><li>Siap bekerja dibawah tekanan</li><li>Berpengalaman dibidang yang sama lebih diutamakan.</li></ul></p>",2024-03-18T07:57:09.523787Z
"PT Tata Karya Gemilang","Staff Legal & GA",Yogyakarta,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1350593,"Tidak Disebutkan","<ul>
	<li>Pria</li>
	<li>S1 Hukum</li>
	<li>Pengalaman minimal 2 tahun pada perusahaan atau Legal Officer</li>
	<li>Mempunyai pengetahuan tentang hukum serta peraturan negara yang berlaku</li>
	<li>Menguasai tentang UU Ketenagakerjaan serta UU Cipta Kerja beserta turunannya</li>
	<li>Menguasai tentang perijinan serta legalitas perusahaan</li>
	<li>Mempunyai kemampuan komunikasi serta negosiasi yang baik</li>
	<li>Mempunyai kemampuan analisa yang baik</li>
	<li>Dapat melakukan pekerjaan secara administrasi serta detail</li>
	<li>Mampu bekerja di bawah tekanan, pekerja keras, berorientasi pada target dan waktu</li>
</ul>
",2024-03-18T06:58:54.287747Z
"PT Artha Demo Engineering Consultant","Staff Teknik Geodesi/ Geologi",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394281,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Pengalaman di Konsultan Perencanaan
</p><p>3. Menguasai software pengolahan data untuk pemetaan, diantaranya adalah Digitasi Peta, Auto Cad, Arc View, dan GIS.
</p><p>4. Mempunyai kemampuan Digitasi Peta dan Kebencanaan
</p><p>5. Mampu bekerjasama dalam tim
</p><p>6. Jujur, pekerja keras, aktif, inovatif, teliti dan berdedikasi tinggi
</p><p><br></p>",2024-03-16T09:37:55.302934Z
"PT Artha Demo Engineering Consultant","Staff Ahli Perencanaan Wilayah dan Kota",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394283,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Pengalaman dibidangnya min 3 tahun di konsultan perencanaan
</p><p>3. Pengetahuan tentang tata ruang kota atau desain fisik
</p><p>4. Menguasai ArGIS
</p><p><br></p>",2024-03-16T09:41:25.624221Z
"PT Artha Demo Engineering Consultant","Staff Teknik Kelautan",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394278,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Siap bekerja lembur
</p><p>3. Siap bekerja dibawah tekanan
</p><p>4. Pengetahuan ilmu kelautan
</p><p>5.Pengetahuan teknik kelautan DLKR DAN DLKp
</p><p>6. Pengetahuan Ilmu Biologi Kelautan
</p><p>7. Kemampuan melakukan analisis
</p><p>8. Kemampuan mengumpulkan data
</p><p><br></p>",2024-03-16T09:32:09.728823Z
"PT Artha Demo Engineering Consultant","Staff Arsitek Landskap",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394284,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Pengalaman dibidangnya min 3 tahun di konsultan perencanaan
</p><p>3. Pengetahuan tentang Arsitek Landskap tata ruang kota atau desain fisik
</p><p>4. AuotoCAD, Photoshop, Corell Draw, ETAB, SAP 2000, Lumion, Sketchup
</p><p>5. Desain gambar perencanaan
</p><p><br></p>",2024-03-16T09:42:46.438249Z
"PT Artha Demo Engineering Consultant","Staff Ahli Arsitek",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394282,"Tidak Disebutkan","<p>1. Pria / Wanita
</p><p>2. Berpengalaman dibidangnya min 1 tahun di konsultan perencanaan
</p><p>3. Menguasai program autocad, 3D, Lumion, sketchup, dll
</p><p>4. Bersedia bekerja dibawah tekanan
</p><p>5. Bersedia lembur
</p><p>6. Bisa Membuat RAB
</p><p>7. Bisa Menghitung Estimasi Budget
</p><p>8. Bisa membaca gambar desain perencanaan
</p><p><br></p>",2024-03-16T09:39:29.107775Z
"PT Artha Demo Engineering Consultant","Staff Teknik Sipil (Gedung, Jalan dan Jembatan)",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]","Staf Senior",https://karir.com//opportunities/1394279,"Tidak Disebutkan","<p>1. Pria/ Wanita
</p><p>2. Berpengalaman profesional minimal 3 tahun dalam 10 tahun terakhir di Konsultan Perencanaan
</p><p>3. Menguasai AuotoCAD, Photoshop, Corell Draw, ETAB, SAP 2000, Lumion, Sketchup,
</p><p>4. Mengetahui jenis-jenis material bangunan
</p><p>5. Membuat Laporan perencanaan
</p><p>6. Membuat RAB
</p><p><br></p>",2024-03-16T09:34:16.006881Z
