pt,title,lokasi,is_urgent,gaji,pendidikan,level,link,tipe_pekerjaan,description,post_date
"PT Trimitra Promosindo","SALES CANVASSER INFINIX JAYAPURA - PAPUA",Jayapura,false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1384617,"Tidak Disebutkan","<p>Kriteria : 
</p>
<p>Pendidikan min. SMA/SMK
</p><p>Maksimal 35 tahun
</p><p>Penampilan rapi dan menarik
</p><p>Pengalaman sales canvasser di bidang Teleco/ HP/ Provider/ Aksesoris
</p><p>Terbiasa bekerja kanvasing/ motoris ke toko-toko tradi
</p><p>Memiliki kendaraan motor, SIM dan handphone android
</p><p>Laki - Laki</p>





",2024-04-19T07:40:09.159769Z
"Perusahaan dirahasiakan","Host Live (kota Surabaya-Jatim)",Semarang,false,LABEL_COMPETITIVE_SALARY,"[""D3"",""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394729,"Tidak Disebutkan","<p><ul><li>Kreatif dan inovatif
</li><li>Pria &amp; Wanita
</li><li>Pendidikan Minimal SMA/SMK/D3/S1
</li><li>Percaya diri dan berpenampilan menarik.
</li><li>Mampu mempromosikan produk pada platform Tiktok, Shopee dll (Live)
</li><li>Berpengalaman menjadi MC suatu acara atau pernah bekerja pada posisi serupa menjadi nilai tambah.</li></ul></p>",2024-04-19T01:43:02.079764Z
"PT Majapahit Solusi Bersama","Salad Artist","Prov. DKI-Jakarta",false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394745,"Tidak Disebutkan","<p>* Jenis Kelamin: Wanita (Salad artist)</p><p>* Pendidikan Minimal: SMA</p><p>* Usia Maksimal: 27 Tahun&nbsp;</p><p>* Memiliki pengalaman dibidang Kitchen (helper,Steward,chef) Atau Crew kitchen (Kasir, Crew Helper) Minimal 6 Bulan</p>",2024-04-19T04:07:38.555745Z
"PT Trimitra Promosindo","SALES MOBILE BOLTTECH AREA SAMARINDA",Samarinda,false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Staf Senior",https://karir.com//opportunities/1393691,"Tidak Disebutkan","<ul><li>&nbsp;&nbsp;&nbsp; Pendidikan lulus SMA/SMA</li><li>&nbsp;&nbsp;&nbsp; Siap Bekerja dengan Target</li><li>&nbsp;&nbsp;&nbsp; Bersedia ditempatkan di wilayah Jabodetabek</li><li>&nbsp;&nbsp;&nbsp; Berpengalaman sebagai sales 2 tahun</li><li>&nbsp;&nbsp;&nbsp; Lebih disukai pengalaman sales leasing atau asuransi</li><li>&nbsp;&nbsp;&nbsp; Memiliki kemampuan komunikasi yang baik kepada customer</li><li>&nbsp;&nbsp;&nbsp; Komitmen dalam bekerja</li></ul>",2024-04-19T07:39:42.718427Z
"Xperteam Consultant","Crew Store","KABUPATEN BADUNG",false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394760,"Tidak Disebutkan","<p>Kualifikasi :
</p><p><ul><li>Perempuan dengan usia maksimal 35 tahun
</li><li>Pendidikan Min. SMA/SMK
</li><li>Berpengalaman Menjadi Crew Store / Sales Store lebih disukai
</li><li>Memiliki kemampuan untuk memberikan layanan pelanggan yang ramah, informatif, dan membantu.
</li><li>Memiliki kemampuan berkomunikasi dengan jelas dan efektif, baik secara lisan maupun tertulis.
</li><li>Mampu bekerja dalam tim dan berkolaborasi dengan rekan kerja untuk mencapai tujuan bersama.
</li><li>Fleksibel dan dapat menyesuaikan diri dengan berbagai situasi kerja.
</li><li>Bersedia Bekerja dengan system shift
</li><li>Teliti dan Bertanggung Jawab</li><li>Berdomisili di Bali</li></ul></p>",2024-04-19T06:38:56.849355Z
"PT Personel Alih Daya Tbk","Telesales Upselling","Jakarta Selatan",false,LABEL_COMPETITIVE_SALARY,"[""D3"",""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394754,"Tidak Disebutkan","-Pria/Wanita<p>-Pendidikan minimal SMA</p><p>-Memiliki pengalaman di bagian Telesales/Telesales upselling</p><p>-Target oriented</p><p>-Memiliki komitmen kerja yang baik</p>",2024-04-19T05:39:10.412789Z
"PT Majapahit Solusi Bersama","Preperation Specialist","Prov. DKI-Jakarta",false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394746,"Tidak Disebutkan","<p>* Jenis Kelamin: Pria (preparation specialist)</p><p>* Pendidikan Minimal: SMA</p><p>* Usia Maksimal: 27 Tahun&nbsp;</p><p>* Memiliki pengalaman dibidang Kitchen (helper,Steward,chef) Atau Crew kitchen (Kasir, Crew Helper) Minimal 6 Bulan</p>",2024-04-19T04:09:57.257298Z
"PT BPR Kredit Mandiri Indonesia","Area Recovery Collection (Bekasi)",Bekasi,false,LABEL_COMPETITIVE_SALARY,"[""Apa Saja""]",Supervisor,https://karir.com//opportunities/1394763,"Tidak Disebutkan","<p>1. Pria/Wanita
</p>
<p>2. Usia : 25 - 40 tahun
</p><p>3. Minimal pendidikan S1
</p><p>4. Bisa mengemudi / memiliki SIM C dan memiliki kendaraan bermotor
</p><p>5. Memiliki pengalaman di bidang yang sama ataupun bidang marketing Developer
</p><p>6. Mengerti Proses Pelelangan
</p><p>7. Mempunyai Integritas yang tinggi</p>







",2024-04-19T07:30:39.58809Z
"PT Majapahit Solusi Bersama","Salad Artist - Bogor",Bogor,false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394749,"Tidak Disebutkan","<p>* Jenis Kelamin: Wanita (Salad artist)</p><p>* Pendidikan Minimal: SMA</p><p>* Usia Maksimal: 27 Tahun&nbsp;</p><p>* Memiliki pengalaman dibidang Kitchen (helper,Steward,chef) Atau Crew kitchen (Kasir, Crew Helper) Minimal 6 Bulan</p>",2024-04-19T04:18:28.250672Z
"PT King Sun Indo Utama","Secretary of General Manager","Jakarta Pusat",false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Asisten Manajer",https://karir.com//opportunities/1394728,"Tidak Disebutkan","<p>* HARUS BISA BAHASA MANDARIN (LISAN DAN TULISAN)
</p><p>* Pendidikan : Sarjana S1 ke atas
</p><p>* Pengalaman kerja minimal 3 tahun (berpengalaman dalam bidang Pemasaran)
</p><p>* Mempunyai SIM A/C dan Kendaraan Bermotor
</p><p>* Mampu menyelesaikan tujuan yang diberikan oleh perusahaan, membina dan memimpin tim bisnis
</p><p>* Kemampuan untuk membangun tim bisnis
</p><p>* Bahasa Inggris dan Mandarin (bisa secara lisan dan tulisan)
</p><p>* CV dalam bahasa Mandarin</p>",2024-04-19T01:31:56.674405Z
"PT Trimitra Promosindo","Team Leader Bolttech","Prov. DKI-Jakarta",false,LABEL_COMPETITIVE_SALARY,"[""Apa Saja""]",Supervisor,https://karir.com//opportunities/1393520,"Tidak Disebutkan","<ul><li>Pria</li><li>Maksimal 38 tahun</li><li>Pengalaman Team Leader retail min. 2 tahun<br></li><li>Terbiasa mengerjakan report daily, weekly, monthly</li><li>Memiliki jiwa kepemimpinan</li><li>Mempunyai kendaraan dan Laptop<br></li></ul>",2024-04-19T07:36:34.369455Z
"PT Majapahit Solusi Bersama","Admin Cashier - Indramayu","KABUPATEN INDRAMAYU",false,LABEL_COMPETITIVE_SALARY,"[""Apa Saja""]","Pemula / Staf",https://karir.com//opportunities/1394758,"Tidak Disebutkan","<p>Usia Max 25 tahun<br></p><p>Pendidikan min.SMA/SMK</p><p>Mengerti pengelolaan data menggunakan excel</p><p>Mengelola day to day Administrasi Gerai</p><p>Tidak bertindik bagi Laki-laki</p><p>Performance baik, tegas, lancar berkomunikasi, tanggap dan cekatan</p><p><br></p>",2024-04-19T06:12:04.597633Z
"PT Majapahit Solusi Bersama","Salad Artist - Depok",Depok,false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394747,"Tidak Disebutkan","<p>* Jenis Kelamin: Wanita (Salad artist)</p><p>* Pendidikan Minimal: SMA</p><p>* Usia Maksimal: 27 Tahun&nbsp;</p><p>* Memiliki pengalaman dibidang Kitchen (helper,Steward,chef) Atau Crew kitchen (Kasir, Crew Helper) Minimal 6 Bulan</p>",2024-04-19T04:12:29.048298Z
"PT Trimitra Promosindo","SALES CANVASSER INFINIX SORONG - PAPUA",Sorong,false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1384619,"Tidak Disebutkan","<p>Kriteria : 
</p>
<p>Pendidikan min. SMA/SMK
</p><p>Maksimal 35 tahun
</p><p>Penampilan rapi dan menarik
</p><p>Pengalaman sales canvasser di bidang Teleco/ HP/ Provider/ Aksesoris
</p><p>Terbiasa bekerja kanvasing/ motoris ke toko-toko tradi
</p><p>Memiliki kendaraan motor, SIM dan handphone android
</p><p>Laki - Laki</p>





",2024-04-19T07:36:11.723598Z
"PT Vajiro Mulia Gemilang","IT DCA ","Prov. DKI-Jakarta",false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3""]","Pemula / Staf",https://karir.com//opportunities/1392803,"Tidak Disebutkan","<p>-	Pria
</p><p>-	Pendidikan minimal D3 Tehnik Informatika/Tekhnologi Informasi
</p><p>-	Memahami jaringan computer dan system computer
</p><p>-	Bersedia bekerja shifting</p><p><br></p>",2024-04-19T08:32:51.375334Z
"PT Trimitra Promosindo","Sales Canvasser Infinix - Pasuruan Probolinggo",Pasuruan,false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1388902,"Tidak Disebutkan","<p><ul><li>Pendidikan min. SMA/SMK</li><li>Maksimal 35 tahun</li><li>Penampilan rapi dan menarik</li><li>Pengalaman sales canvasser di bidang Teleco/ HP/ Provider/ Aksesoris</li><li>Terbiasa bekerja kanvasing/ motoris ke toko-toko tradi</li><li>Memiliki kendaraan motor, SIM dan handphone android</li><li>Laki - Laki</li></ul></p>",2024-04-19T07:39:56.557887Z
"PT Trimitra Promosindo","SALES MOBILE BOLTTECH AREA BANDUNG",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1392822,"Tidak Disebutkan","<p></p><ul><li>Pendidikan lulus SMA/SMA
</li><li>Siap Bekerja dengan Target
</li><li>Bersedia ditempatkan di wilayah Jabodetabek
</li><li>Berpengalaman sebagai sales 2 tahun
</li><li>Lebih disukai pengalaman sales leasing atau asuransi
</li><li>Memiliki kemampuan komunikasi yang baik kepada customer
</li><li>Komitmen dalam bekerja</li></ul><p></p>",2024-04-19T07:39:27.64107Z
"PT Majapahit Solusi Bersama","Admin Cashier - Klaten",Klaten,false,LABEL_COMPETITIVE_SALARY,"[""Apa Saja""]","Pemula / Staf",https://karir.com//opportunities/1394757,"Tidak Disebutkan","<p>Usia max 25 tahun&nbsp;</p><p>Pendidikan min.SMA/SMK</p><p>Mengerti pengelolaan data menggunakan excel</p><p>Mengelola day to day Administrasi Gerai</p><p>Tidak bertindik bagi Laki-laki</p><p>Performance baik, tegas, lancar berkomunikasi, tanggap dan cekatan</p><p><br></p>",2024-04-19T06:08:27.272066Z
